produto_id,sku,ean,nome,marca,categoria,descricao,url_produto,preco_cop,preco_lista_cop,qtd_imagens,imagem_1,imagem_2,imagem_3,imagem_4,todas_imagens
17865,17772,705928045309,Atomizador NasoGel para Narices Secas NeilMed Frasco x 30 mL,NeilMed,Descongestionantes,,https://www.farmaexpress.comhttps://www.farmaexpress.com/atomizador-nasogel-para-narices-secas-neilmed-frasco-30ml-100024722/p,74900.0,74900.0,2,https://coopidrogas.vteximg.com.br/arquivos/ids/37001489/nasogel-spray-30-ml-neilmed.jpg,https://coopidrogas.vteximg.com.br/arquivos/ids/37001500/nasogel-spray-30-ml-neilmed.jpg,,,https://coopidrogas.vteximg.com.br/arquivos/ids/37001489/nasogel-spray-30-ml-neilmed.jpg | https://coopidrogas.vteximg.com.br/arquivos/ids/37001500/nasogel-spray-30-ml-neilmed.jpg
16540,16452,7704768007471,Frasco Recolector Muestra de Orina 2.5 L Fast Care Frasco x 1 ud,Fast Care,Insumos Hospitalarios,Encuentra los precios de Frasco Recolector Muestra de Orina 2.5 L Fast Care Frasco x 1 ud. Disponibles en las droguerías cerca a tu ubicación. Farmaexpress más cerca de ti.,https://www.farmaexpress.comhttps://www.farmaexpress.com/frasco-recolector-muestra-de-orina-2-5-l-fast-care-1-ud-200046074/p,10000.0,10000.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36987249/200046074_1.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36987249/200046074_1.jpg
15995,15908,7703712030091,Antiácido Sabor a Menta Coaspharma Frasco x 150 Mililitros,Coaspharma,Bienestar Digestivo,Encuentra los precios de Antiácido Sabor a Menta Coaspharma Frasco x 150 Mililitros. Disponibles en las droguerías cerca a tu ubicación. Farmaexpress más cerca de ti.,https://www.farmaexpress.comhttps://www.farmaexpress.com/antiacido-sabor-a-menta-x-150-mililitros-100028292/p,8500.0,8500.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36961007/100028292_1.jpg.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36961007/100028292_1.jpg.jpg
15681,15593,7702277865766,Loción Resfrescante Amarillo Menticol x  250mL,Menticol,Dermatología Corporal,Loción Resfrescante Amarillo Menticol x 250mL. Disponibles en las droguerías cerca a tu ubicación. Farmaexpress más cerca de ti.,https://www.farmaexpress.comhttps://www.farmaexpress.com/locion-resfrescante-amarillo-menticol-x-250ml-200044655/p,12500.0,12500.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36937857/locrefrescmenticol-origamarill250-ml.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36937857/locrefrescmenticol-origamarill250-ml.jpg
15232,15145,7701205202314,Jabón Quirúrgico Aseptidina Proasepsis Frasco x 1000 mL,Proasepsis,Antisépticos,Encuentra los precios de Jabón Quirúrgico Aseptidina Proasepsis Frasco x 1000 mL. Disponibles en las droguerías cerca a tu ubicación. Farmaexpress más cerca de ti.,https://www.farmaexpress.comhttps://www.farmaexpress.com/jabon-quirurgico-aseptidina-proasepsis-1000-ml-200044629/p,45500.0,45500.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36859504/aseptidina-jab-quiru-clorhexidina-1000ml.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36859504/aseptidina-jab-quiru-clorhexidina-1000ml.jpg
15229,15144,7701205202307,Jabón Quirúrgico Aseptidina Proasepsis Frasco x 500 mL,Proasepsis,Antisépticos,Encuentra los precios de Jabón Quirúrgico Aseptidina Proasepsis Frasco x 500 mL. Disponibles en las droguerías cerca a tu ubicación. Farmaexpress más cerca de ti.,https://www.farmaexpress.comhttps://www.farmaexpress.com/jabon-quirurgico-aseptidina-proasepsis-500-ml-200044628/p,25700.0,25700.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36859500/aseptidina-jab-quirur-clorhexidina-500ml.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36859500/aseptidina-jab-quirur-clorhexidina-500ml.jpg
15224,15135,7701205202284,Jabón Quirúrgico Aseptidina Proasepsis Frasco x 120 mL,Proasepsis,Antisépticos,Encuentra los precios de Jabón Quirúrgico Aseptidina Proasepsis Frasco x 120 mL. Disponibles en las droguerías cerca a tu ubicación. Farmaexpress más cerca de ti.,https://www.farmaexpress.comhttps://www.farmaexpress.com/jabon-quirurgico-aseptidina-proasepsis-120-ml-200044624/p,8500.0,8500.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36859491/aseptidina-jab-quirur-clorhexidina-120ml.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36859491/aseptidina-jab-quirur-clorhexidina-120ml.jpg
14930,14841,7702057711979,Desloratadina Jarabe Niños 2.5 mg/5 mL Mk Frasco x 60 mL,MK, Tos,Encuentra los precios de Desloratadina Jarabe 2.5 mg/5 mL Mk x 60 mL. Disponibles en las droguerías cerca a tu ubicación. Farmaexpress más cerca de ti,https://www.farmaexpress.comhttps://www.farmaexpress.com/desloratadina-jarabe-ninios-2-5-mg-5-ml-mk-frasco-x-60-ml-100026290/p,51900.0,51900.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36845058/desloratadina-25mg5ml-jbe-60ml-mk.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36845058/desloratadina-25mg5ml-jbe-60ml-mk.jpg
14924,14836,7707397791636,Dolex Forte Acetaminofén/Cafeína Caja x 100 tabletas recubiertas,Dolex,Analgésicos,"Dolex Forte, la mejor formula para combatir dolores fuertes. Con tecnologia Optizorb libera su componente hasta 5 veces mas rapido y contiene un potencializador que mejora el efecto analgesico.",https://www.farmaexpress.comhttps://www.farmaexpress.com/dolex-forte-acetaminofen-cafeina-caja-x-100-tabletas-recubiertas-100027875/p,171000.0,171000.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/37014892/100027875_1.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/37014892/100027875_1.jpg
14596,14546,5027314496799,Polvo Para Suspensión Multiflora Sachet de 1 g Megalabs Caja x 6 uds,Megalabs, Estómago,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/polvo-para-suspension-multiflora-sachet-de-1-g-megalabs-caja-x-6-uds-100027235/p,69800.0,69800.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36989242/100027235_1.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36989242/100027235_1.jpg
13404,13232,7707228368860,Tensiómetro Digital Alfa Safe Muñeca Caja X 1 Ud.,Alfa Safe,Equipos de Diagnóstico,.,https://www.farmaexpress.comhttps://www.farmaexpress.com/tensiometro-digital-alfa-safe-munieca-caja-1-ud-200041237/p,109900.0,109900.0,1,https://coopidrogas.vteximg.com.br/arquivos/ids/36915505/tensiometro-digital-muneca-alfasafe-hk-6.jpg,,,,https://coopidrogas.vteximg.com.br/arquivos/ids/36915505/tensiometro-digital-muneca-alfasafe-hk-6.jpg
